bs,series,x,prob
2,pred_bs1_marginal_expansion,0,6.098698437291151e-05
2,cont_batch,0,0.0
2,pred_bs1_marginal_expansion,1,0.25022061247075317
2,cont_batch,1,0.29847916666666663
2,pred_bs1_marginal_expansion,2,0.7497184005448738
2,cont_batch,2,0.7015208333333334
4,pred_bs1_marginal_expansion,0,5.7025353048620185e-09
4,cont_batch,0,0.0
4,pred_bs1_marginal_expansion,1,0.006254229458380154
4,cont_batch,1,0.0014812499999999997
4,pred_bs1_marginal_expansion,2,0.23400784971317903
4,cont_batch,2,0.26160416666666664
4,pred_bs1_marginal_expansion,3,0.4675105292874855
4,cont_batch,3,0.47180625000000004
4,pred_bs1_marginal_expansion,4,0.29222738583841995
4,cont_batch,4,0.26510833333333333
8,pred_bs1_marginal_expansion,0,7.513574331457237e-17
8,cont_batch,0,0.0
8,pred_bs1_marginal_expansion,1,6.277168730981765e-07
8,cont_batch,1,0.0
8,pred_bs1_marginal_expansion,2,0.00255531418034861
8,cont_batch,2,0.0007229166666666664
8,pred_bs1_marginal_expansion,3,0.06531385914628941
8,cont_batch,3,0.062374999999999986
8,pred_bs1_marginal_expansion,4,0.2025604537343269
8,cont_batch,4,0.21897291666666666
8,pred_bs1_marginal_expansion,5,0.23660389643169194
8,cont_batch,5,0.24421875000000004
8,pred_bs1_marginal_expansion,6,0.2220098294450399
8,cont_batch,6,0.2190125
8,pred_bs1_marginal_expansion,7,0.1820766329065417
8,cont_batch,7,0.17165416666666664
8,pred_bs1_marginal_expansion,8,0.08887938643888824
8,cont_batch,8,0.08304375
16,pred_bs1_marginal_expansion,0,2.3960218072007988e-32
16,cont_batch,0,0.0
16,pred_bs1_marginal_expansion,1,7.832196127382346e-17
16,cont_batch,1,0.0
16,pred_bs1_marginal_expansion,2,2.640265438852398e-09
16,cont_batch,2,0.0
16,pred_bs1_marginal_expansion,3,1.739114981033219e-05
16,cont_batch,3,2.0833333333333334e-06
16,pred_bs1_marginal_expansion,4,0.0015923138496013293
16,cont_batch,4,0.0007291666666666666
16,pred_bs1_marginal_expansion,5,0.017341117857232045
16,cont_batch,5,0.014097916666666663
16,pred_bs1_marginal_expansion,6,0.0634126744655648
16,cont_batch,6,0.06657708333333333
16,pred_bs1_marginal_expansion,7,0.1128312711941487
16,cont_batch,7,0.12046666666666668
16,pred_bs1_marginal_expansion,8,0.11936795803806272
16,cont_batch,8,0.11884375
16,pred_bs1_marginal_expansion,9,0.1023954446884452
16,cont_batch,9,0.1039
16,pred_bs1_marginal_expansion,10,0.09840071077956794
16,cont_batch,10,0.10131458333333333
16,pred_bs1_marginal_expansion,11,0.10716067767219194
16,cont_batch,11,0.10834166666666667
16,pred_bs1_marginal_expansion,12,0.11190097649554179
16,cont_batch,12,0.10989583333333335
16,pred_bs1_marginal_expansion,13,0.10575279365424496
16,cont_batch,13,0.10388125
16,pred_bs1_marginal_expansion,14,0.08794013687545861
16,cont_batch,14,0.08468333333333333
16,pred_bs1_marginal_expansion,15,0.05450923056222738
16,cont_batch,15,0.050637499999999995
16,pred_bs1_marginal_expansion,16,0.017377300077636777
16,cont_batch,16,0.016629166666666667
32,pred_bs1_marginal_expansion,0,5.48891922947213e-63
32,cont_batch,0,0.0
32,pred_bs1_marginal_expansion,1,1.609363097411164e-40
32,cont_batch,1,0.0
32,pred_bs1_marginal_expansion,2,4.9164609023201556e-27
32,cont_batch,2,0.0
32,pred_bs1_marginal_expansion,3,2.2556961427135084e-18
32,cont_batch,3,0.0
32,pred_bs1_marginal_expansion,4,1.077443837240404e-12
32,cont_batch,4,0.0
32,pred_bs1_marginal_expansion,5,6.090401441609437e-09
32,cont_batch,5,0.0
32,pred_bs1_marginal_expansion,6,1.8828750674877407e-06
32,cont_batch,6,0.0
32,pred_bs1_marginal_expansion,7,8.459566143031938e-05
