layer,x,gumbel_pred_prob,fixed_actual_prob,arrival_departure_sim_prob
0,1,2.261014113681324e-248,0.0,0.0
0,2,2.0392500964049256e-130,0.0,0.0
0,3,2.4883536623580376e-68,0.0,0.0
0,4,1.0311560187375528e-35,0.0,0.0
0,5,1.221047983165719e-18,0.0,0.0
0,6,9.144469273173865e-10,0.0,0.0
0,7,3.24245449653859e-05,0.0,0.0
0,8,0.006017802798485464,0.0,0.012096774193548387
0,9,0.06994635036194406,0.012096774193548387,0.08870967741935484
0,10,0.18854793887866392,0.03225806451612903,0.1693548387096774
0,11,0.23513077426257084,0.08870967741935484,0.2217741935483871
0,12,0.19526158662409906,0.13306451612903225,0.21370967741935484
0,13,0.1308529352712415,0.125,0.14112903225806453
0,14,0.07831073249836967,0.09274193548387097,0.09274193548387097
0,15,0.044151468892279694,0.06854838709677419,0.036290322580645164
0,16,0.0241212727821891,0.06854838709677419,0.016129032258064516
0,17,0.01296120587401371,0.05241935483870968,0.004032258064516129
0,18,0.006903790621251902,0.028225806451612902,0.004032258064516129
0,19,0.0036603604677681676,0.016129032258064516,0.0
0,20,0.0019359851425129952,0.012096774193548387,0.0
0,21,0.0010226383583829721,0.016129032258064516,0.0
0,22,0.000539818487782423,0.004032258064516129,0.0
0,23,0.00028485126450391473,0.028225806451612902,0.0
0,24,0.00015028188878789877,0.004032258064516129,0.0
0,25,7.927786316911383e-05,0.016129032258064516,0.0
0,26,4.1819076607526936e-05,0.008064516129032258,0.0
0,27,2.205895438035151e-05,0.004032258064516129,0.0
0,28,1.1635607580071718e-05,0.020161290322580645,0.0
0,29,6.137476822448279e-06,0.012096774193548387,0.0
0,30,3.237344374967698e-06,0.004032258064516129,0.0
0,31,1.7076033770962776e-06,0.020161290322580645,0.0
0,32,9.00709242082185e-07,0.13306451612903225,0.0
0,33,4.750966565637235e-07,0.0,0.0
0,34,2.5059891867999675e-07,0.0,0.0
0,35,1.3218322368978605e-07,0.0,0.0
0,36,6.972257976469539e-08,0.0,0.0
0,37,3.67765119433892e-08,0.0,0.0
0,38,1.939847610873853e-08,0.0,0.0
0,39,1.0232097896880502e-08,0.0,0.0
0,40,5.397116045381054e-09,0.0,0.0
0,41,2.8468122370243378e-09,0.0,0.0
0,42,1.5016056407642377e-09,0.0,0.0
0,43,7.920506553994454e-10,0.0,0.0
0,44,4.177822880783661e-10,0.0,0.0
0,45,2.203672694339391e-10,0.0,0.0
0,46,1.1623693683629648e-10,0.0,0.0
