layer,local_bs,num_steps,gumbel_mu,gumbel_beta,pred_expected_x,actual_expected_x,cont_sim_expected_x,pred_p95_x,actual_p95_x,cont_sim_p95_x,actual_spike_x32_prob,cont_sim_spike_x32_prob,tvd_actual_vs_pred,tvd_cont_sim_vs_pred,tvd_cont_sim_vs_actual
0,32,248,10.936986931341696,1.563318557822165,11.839361147396911,17.814516129032256,11.669354838709676,16,32,15,0.13306451612903225,0.0,0.4346617868285394,0.06799768922005385,0.45564516129032256
1,32,248,11.759950590214812,1.7181900588656072,12.751715329324808,17.088709677419352,12.612903225806452,17,32,16,0.16532258064516128,0.0,0.3000849754293705,0.10411128331666016,0.3145161290322581
2,32,248,19.171071995706317,2.366242058203625,20.536903967167778,22.81048387096774,20.649193548387096,26,32,25,0.2903225806451613,0.0,0.4004043103498836,0.16362692432142384,0.4717741935483871
3,32,248,18.905155811695806,1.9824573310390061,20.049461379048928,22.95967741935484,19.66532258064516,25,32,23,0.21774193548387097,0.0,0.33572494465784597,0.09260126997553475,0.3870967741935484
4,32,248,21.48299725154228,2.552909687447194,22.956576714098965,23.088709677419356,22.862903225806452,29,32,27,0.28225806451612906,0.0,0.5311397840041668,0.1419090161002906,0.5846774193548387
5,32,248,20.33328933602736,2.0641430535793694,21.524744883957354,24.564516129032256,21.27016129032258,26,32,25,0.22580645161290322,0.0,0.2888526051023916,0.08838950760274515,0.3346774193548387
6,32,248,13.097325424533473,1.7415738301480148,14.102592378287888,19.157258064516128,14.185483870967744,18,32,18,0.18951612903225806,0.0,0.29799055828577437,0.060616901566303505,0.30645161290322576
7,32,248,14.570290104711203,2.0455468256879876,15.751011703078824,20.141129032258064,15.89516129032258,21,32,20,0.22580645161290322,0.0,0.29775098905353753,0.1315715142850011,0.310483870967742
8,32,248,12.861570048426687,1.5789341355320428,13.772965865030056,19.931451612903224,13.858870967741936,18,32,17,0.20967741935483872,0.0,0.3897099181116589,0.10171186826203621,0.4032258064516129
9,32,248,22.74957361649352,2.440281826773332,24.158142516750544,24.729838709677423,23.971774193548388,30,32,28,0.28225806451612906,0.0,0.44445787270440734,0.15788372224713765,0.4838709677419355
10,32,248,26.93068965475475,1.8528655297622243,28.00019146715155,28.161290322580644,28.07258064516129,32,32,31,0.2903225806451613,0.008064516129032258,0.3531100963937285,0.21873358346726926,0.4879032258064516
11,32,248,26.391138025954948,2.172537595085293,27.64516078406537,27.653225806451612,27.016129032258064,33,32,30,0.2903225806451613,0.0,0.36252730830021695,0.1773552780175163,0.4112903225806452
12,32,248,21.76597862383257,2.398869412095788,23.150643635165657,24.23790322580645,22.935483870967744,29,32,27,0.2862903225806452,0.0,0.4493297151589577,0.15023528293924754,0.4959677419354839
13,32,248,22.464161722293554,2.1332357684791377,23.69549875929565,25.391129032258064,23.45564516129032,29,32,27,0.27419354838709675,0.0,0.33541006429649467,0.1273184030117853,0.4032258064516129
14,32,248,14.412679601357633,2.060398459628501,15.601973676876199,20.286290322580644,15.233870967741936,21,32,19,0.18548387096774194,0.0,0.3253241094812495,0.10738187768431844,0.3588709677419355
15,32,248,13.28020458428912,1.576660222501285,14.190263900081085,19.366935483870968,14.217741935483868,18,32,18,0.1814516129032258,0.0,0.3741286875295829,0.05993986347291005,0.3548387096774194
16,32,248,14.391466732875259,2.1214676956222296,15.616011070802415,19.943548387096776,15.427419354838708,21,32,20,0.1975806451612903,0.0,0.2800772141048709,0.06935266548313787,0.3064516129032258
17,32,248,20.71122239482539,2.546888711159406,22.181326453386937,24.068548387096776,21.99596774193548,28,32,26,0.2661290322580645,0.0,0.35348238438553714,0.17050517200331408,0.3790322580645161
18,32,248,13.4855568592029,1.6344126076081398,14.428958957781393,19.94758064516129,14.419354838709678,18,32,18,0.17338709677419356,0.0,0.3866315797163942,0.060075644145743845,0.3951612903225806
19,32,248,21.595409644698268,2.559648624213352,23.072878926021197,23.608870967741932,22.24596774193548,29,32,26,0.23790322580645162,0.0,0.4224080026523964,0.12840971282895677,0.42338709677419356
20,32,248,13.896064799619555,1.9248673310033195,15.00712808136142,19.733870967741936,14.838709677419354,20,32,18,0.16129032258064516,0.0,0.3293792272688779,0.08058779666007206,0.36693548387096775
21,32,248,23.614623391390815,2.441987416546481,25.024176779688833,25.826612903225808,24.653225806451616,31,32,29,0.24193548387096775,0.004032258064516129,0.3159175601091777,0.1546727124966724,0.3306451612903226
22,32,248,25.973430567893637,2.1974181821166394,27.241814750200092,29.096774193548384,26.891129032258064,32,32,30,0.31048387096774194,0.004032258064516129,0.37600419953372705,0.17710787229036146,0.3588709677419355
23,32,248,26.440764947861712,2.0940953896892163,27.649509478564838,29.548387096774196,27.20967741935484,33,32,30,0.29435483870967744,0.004032258064516129,0.4163039486008159,0.17011712904830328,0.4556451612903226
