layer,step,x,lane_positions_first8,remaining_lengths_first8,token_expert_tuples_first8
0,0,13,"[1252, 6511, 1479, 3659, 216, 6898, 1790, 6544]","[11, 64, 1, 46, 14, 40, 61, 43]","[[23, 1, 28, 21], [4, 5, 3, 9], [13, 21, 17, 29], [4, 5, 3, 9], [16, 2, 11, 24], [25, 13, 6, 8], [9, 3, 11, 16], [13, 21, 17, 29]]"
0,1,14,"[1253, 6512, 644, 3660, 217, 6899, 1791, 6545]","[10, 63, 33, 45, 13, 39, 60, 42]","[[13, 8, 27, 11], [30, 27, 9, 3], [16, 7, 13, 2], [30, 27, 9, 3], [31, 21, 22, 6], [16, 19, 4, 9], [15, 9, 11, 6], [25, 4, 9, 11]]"
1,0,15,"[514, 5020, 800, 5340, 4426, 2269, 3917, 7780]","[51, 3, 62, 46, 39, 61, 37, 31]","[[10, 0, 31, 5], [20, 12, 7, 25], [24, 3, 18, 19], [30, 20, 16, 27], [18, 13, 26, 22], [12, 27, 21, 3], [10, 16, 26, 12], [12, 27, 26, 20]]"
1,1,13,"[515, 5021, 801, 5341, 4427, 2270, 3918, 7781]","[50, 2, 61, 45, 38, 60, 36, 30]","[[13, 26, 24, 31], [1, 17, 28, 7], [29, 22, 24, 27], [29, 22, 27, 24], [12, 27, 15, 2], [6, 1, 21, 0], [20, 16, 30, 3], [18, 29, 12, 9]]"
2,0,22,"[6437, 3386, 578, 225, 7299, 5211, 3436, 1979]","[54, 1, 21, 52, 9, 25, 25, 4]","[[0, 21, 6, 18], [21, 0, 14, 26], [29, 8, 21, 4], [21, 3, 0, 4], [5, 10, 26, 22], [29, 8, 17, 21], [8, 29, 0, 6], [0, 21, 24, 3]]"
2,1,20,"[6438, 7272, 579, 226, 7300, 5212, 3437, 1980]","[53, 1, 20, 51, 8, 24, 24, 3]","[[21, 0, 3, 4], [3, 24, 5, 31], [29, 8, 17, 6], [21, 0, 5, 3], [27, 5, 0, 6], [21, 5, 4, 6], [6, 0, 8, 21], [21, 0, 4, 11]]"
3,0,20,"[6515, 984, 2102, 5175, 184, 3583, 6371, 6998]","[15, 16, 33, 59, 19, 1, 14, 22]","[[7, 0, 12, 3], [23, 31, 25, 20], [21, 31, 20, 25], [11, 7, 0, 18], [19, 7, 11, 0], [22, 2, 12, 0], [31, 23, 20, 4], [19, 7, 0, 11]]"
3,1,22,"[6516, 985, 2103, 5176, 185, 2953, 6372, 6999]","[14, 15, 32, 58, 18, 17, 13, 21]","[[0, 2, 7, 22], [31, 23, 25, 13], [7, 11, 19, 10], [22, 7, 0, 19], [19, 7, 28, 0], [7, 11, 12, 0], [20, 31, 23, 11], [19, 3, 7, 0]]"
4,0,24,"[2399, 1721, 1794, 1587, 2018, 7089, 5340, 1375]","[38, 28, 6, 40, 41, 55, 45, 56]","[[12, 30, 6, 17], [6, 10, 20, 15], [17, 14, 24, 31], [15, 6, 30, 13], [6, 20, 15, 18], [18, 4, 6, 20], [15, 30, 6, 20], [24, 17, 14, 13]]"
4,1,20,"[2400, 1722, 1795, 1588, 2019, 7090, 5341, 1376]","[37, 27, 5, 39, 40, 54, 44, 55]","[[17, 12, 14, 30], [6, 12, 20, 18], [13, 14, 24, 17], [6, 15, 20, 14], [15, 6, 0, 18], [18, 12, 6, 15], [6, 21, 15, 23], [24, 17, 14, 21]]"
