m,theory_prob,real_prob,abs_error,sMAPE_percent
0,0.0,0.0,0.0,0.0
1,0.016082852107327003,0.0031081989247311826,0.01297465318259582,135.21566026708985
2,0.3618738377604383,0.10735887096774194,0.25451496679269636,108.48134073284871
3,0.4286906940683301,0.11735551075268817,0.3113351833156419,114.03254177645667
4,0.16055560578804964,0.1640625,0.0035068942119503566,2.160627610981185
5,0.02945264919073817,0.25285618279569894,0.22340353360496076,158.26889441113462
6,0.0031394423683454094,0.23697916666666666,0.23383972429832126,194.7701806520333
7,0.00019870310037496032,0.09375,0.09355129689962503,199.1539932162228
8,6.2156163963799155e-06,0.024529569892473117,0.02452335427607674,199.89866855668214
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
