layer,series,x,prob
0,pred_bs1_marginal_expansion,0,1.005849905360165e-61
0,pred_bs1_marginal_expansion,1,3.666393834507219e-39
0,pred_bs1_marginal_expansion,2,1.142992339085326e-25
0,pred_bs1_marginal_expansion,3,5.2211988845425467e-17
0,pred_bs1_marginal_expansion,4,2.4446767833698393e-11
0,pred_bs1_marginal_expansion,5,1.3271636248506662e-07
0,pred_bs1_marginal_expansion,6,3.846064796637609e-05
0,pred_bs1_marginal_expansion,7,0.0015877552007558988
0,pred_bs1_marginal_expansion,8,0.01739042160403866
0,pred_bs1_marginal_expansion,9,0.07503040696347925
0,pred_bs1_marginal_expansion,10,0.16541374987817084
0,pred_bs1_marginal_expansion,11,0.22281251752148226
0,pred_bs1_marginal_expansion,12,0.20843696429197137
0,pred_bs1_marginal_expansion,13,0.14881189865874025
0,pred_bs1_marginal_expansion,14,0.08682159174744222
0,pred_bs1_marginal_expansion,15,0.04335791742189872
0,pred_bs1_marginal_expansion,16,0.019057469769824295
0,pred_bs1_marginal_expansion,17,0.007475729458245124
0,pred_bs1_marginal_expansion,18,0.0026293502571864595
0,pred_bs1_marginal_expansion,19,0.0008285602138324825
0,pred_bs1_marginal_expansion,20,0.00023307408697714665
0,pred_bs1_marginal_expansion,21,5.8217187919984215e-05
0,pred_bs1_marginal_expansion,22,1.2827697435491235e-05
0,pred_bs1_marginal_expansion,23,2.473849395778762e-06
0,pred_bs1_marginal_expansion,24,4.1361109381909807e-07
0,pred_bs1_marginal_expansion,25,5.924967683146299e-08
0,pred_bs1_marginal_expansion,26,7.163534210263808e-09
0,pred_bs1_marginal_expansion,27,7.166395254998266e-10
0,pred_bs1_marginal_expansion,28,5.7720273005656757e-11
0,pred_bs1_marginal_expansion,29,3.596456465970719e-12
0,pred_bs1_marginal_expansion,30,1.6253665080512234e-13
0,pred_bs1_marginal_expansion,31,4.44089209850061e-15
0,fixed_actual_no_cont_batch,9,0.012096774193548387
0,fixed_actual_no_cont_batch,10,0.03225806451612903
0,fixed_actual_no_cont_batch,11,0.08870967741935484
0,fixed_actual_no_cont_batch,12,0.13306451612903225
0,fixed_actual_no_cont_batch,13,0.125
0,fixed_actual_no_cont_batch,14,0.09274193548387097
0,fixed_actual_no_cont_batch,15,0.06854838709677419
0,fixed_actual_no_cont_batch,16,0.06854838709677419
0,fixed_actual_no_cont_batch,17,0.05241935483870968
0,fixed_actual_no_cont_batch,18,0.028225806451612902
0,fixed_actual_no_cont_batch,19,0.016129032258064516
0,fixed_actual_no_cont_batch,20,0.012096774193548387
0,fixed_actual_no_cont_batch,21,0.016129032258064516
0,fixed_actual_no_cont_batch,22,0.004032258064516129
0,fixed_actual_no_cont_batch,23,0.028225806451612902
0,fixed_actual_no_cont_batch,24,0.004032258064516129
0,fixed_actual_no_cont_batch,25,0.016129032258064516
0,fixed_actual_no_cont_batch,26,0.008064516129032258
0,fixed_actual_no_cont_batch,27,0.004032258064516129
0,fixed_actual_no_cont_batch,28,0.020161290322580645
0,fixed_actual_no_cont_batch,29,0.012096774193548387
0,fixed_actual_no_cont_batch,30,0.004032258064516129
0,fixed_actual_no_cont_batch,31,0.020161290322580645
0,fixed_actual_no_cont_batch,32,0.13306451612903225
0,cont_batch,8,0.012096774193548387
0,cont_batch,9,0.08870967741935484
0,cont_batch,10,0.1693548387096774
0,cont_batch,11,0.2217741935483871
0,cont_batch,12,0.21370967741935484
0,cont_batch,13,0.14112903225806453
0,cont_batch,14,0.09274193548387097
0,cont_batch,15,0.036290322580645164
0,cont_batch,16,0.016129032258064516
0,cont_batch,17,0.004032258064516129
0,cont_batch,18,0.004032258064516129
0,tuple_pmf_mc_reference,8,0.008064516129032258
0,tuple_pmf_mc_reference,9,0.056451612903225805
0,tuple_pmf_mc_reference,10,0.2217741935483871
0,tuple_pmf_mc_reference,11,0.1814516129032258
0,tuple_pmf_mc_reference,12,0.22983870967741934
0,tuple_pmf_mc_reference,13,0.14516129032258066
0,tuple_pmf_mc_reference,14,0.056451612903225805
0,tuple_pmf_mc_reference,15,0.05241935483870968
0,tuple_pmf_mc_reference,16,0.028225806451612902
0,tuple_pmf_mc_reference,17,0.012096774193548387
0,tuple_pmf_mc_reference,18,0.004032258064516129
0,tuple_pmf_mc_reference,19,0.004032258064516129
1,pred_bs1_marginal_expansion,0,3.0084786228283963e-62
1,pred_bs1_marginal_expansion,1,1.9604655414457265e-40
1,pred_bs1_marginal_expansion,2,3.6957646772782115e-27
1,pred_bs1_marginal_expansion,3,1.9246905052684756e-18
1,pred_bs1_marginal_expansion,4,1.4118252096195587e-12
1,pred_bs1_marginal_expansion,5,1.3450301768610502e-08
1,pred_bs1_marginal_expansion,6,6.71863174278273e-06
1,pred_bs1_marginal_expansion,7,0.00043850441137594843
1,pred_bs1_marginal_expansion,8,0.0068540233039874575
1,pred_bs1_marginal_expansion,9,0.03871525872937571
1,pred_bs1_marginal_expansion,10,0.10586581691383375
1,pred_bs1_marginal_expansion,11,0.1734874426159794
1,pred_bs1_marginal_expansion,12,0.19854543392128263
1,pred_bs1_marginal_expansion,13,0.17619316428951917
1,pred_bs1_marginal_expansion,14,0.12977204691594915
1,pred_bs1_marginal_expansion,15,0.08270143811685961
1,pred_bs1_marginal_expansion,16,0.04666600086477169
1,pred_bs1_marginal_expansion,17,0.023555735897829114
1,pred_bs1_marginal_expansion,18,0.01065841673681578
1,pred_bs1_marginal_expansion,19,0.004312103203252927
1,pred_bs1_marginal_expansion,20,0.0015524769456468637
1,pred_bs1_marginal_expansion,21,0.0004945111222153243
1,pred_bs1_marginal_expansion,22,0.00013844311894206654
1,pred_bs1_marginal_expansion,23,3.3806391402602116e-05
1,pred_bs1_marginal_expansion,24,7.134954453924537e-06
1,pred_bs1_marginal_expansion,25,1.2868181287206684e-06
1,pred_bs1_marginal_expansion,26,1.9544953944183876e-07
1,pred_bs1_marginal_expansion,27,2.4518693408914775e-08
1,pred_bs1_marginal_expansion,28,2.4727245806488445e-09
1,pred_bs1_marginal_expansion,29,1.926787618344861e-10
1,pred_bs1_marginal_expansion,30,1.0887291068684137e-11
