layer,bs,calibration_tokens,num_eval_batches,pred_expected_x,fixed_expected_x,cont_batch_expected_x,tuple_mc_expected_x,pred_p95_x,fixed_p95_x,cont_batch_p95_x,tuple_mc_p95_x,pred_spike_x32_prob,fixed_spike_x32_prob,cont_batch_spike_x32_prob,tuple_mc_spike_x32_prob,tvd_fixed_vs_pred,tvd_cont_batch_vs_pred,tvd_tuple_mc_vs_pred,tvd_cont_batch_vs_fixed
0,32,7936,248,11.73379987245416,17.814516129032256,11.669354838709676,11.814516129032258,15,32,15,15,0.0,0.13306451612903225,0.0,0.0,0.4483932752493497,0.030216323958524055,0.10521961354758039,0.45564516129032256
1,32,7936,248,12.57013781677114,17.088709677419352,12.57258064516129,12.758064516129032,16,32,16,16,1.776356839400251e-15,0.16532258064516128,0.0,0.0,0.2958865046050866,0.0663642173122887,0.09606081427705836,0.32661290322580644
2,32,7936,248,20.454843438063882,22.81048387096774,20.375,20.338709677419352,25,32,24,25,5.358899012319895e-07,0.2903225806451613,0.0,0.0,0.42326789297459755,0.09593425368967196,0.09487603294350916,0.45161290322580644
3,32,7936,248,20.23615618116805,22.95967741935484,19.806451612903224,20.108870967741936,24,32,24,24,6.210889358371219e-08,0.21774193548387097,0.0,0.0,0.3748831500683378,0.1318112415164892,0.08420883581851193,0.3346774193548387
4,32,7936,248,23.192367368816363,23.088709677419356,23.169354838709676,23.016129032258064,27,32,27,27,2.144813363813558e-05,0.28225806451612906,0.0,0.0,0.626178705056555,0.10249292177560115,0.08466534544258467,0.592741935483871
5,32,7936,248,21.348226392640562,24.564516129032256,21.346774193548384,21.564516129032256,25,32,25,25,5.394152151616538e-07,0.22580645161290322,0.0,0.0,0.32139588789501183,0.06826491858589985,0.12165464249528048,0.3225806451612903
6,32,7936,248,14.10357904510203,19.157258064516128,13.754032258064516,13.798387096774196,18,32,17,18,1.7463808177353712e-13,0.18951612903225806,0.0,0.0,0.31444134742889657,0.08076149857845372,0.10791891800951973,0.3548387096774194
7,32,7936,248,15.68465799624801,20.141129032258064,15.786290322580644,15.766129032258064,20,32,20,21,5.638434164012551e-11,0.22580645161290322,0.0,0.0,0.3117896394129579,0.05565254838101932,0.07314027288031566,0.3185483870967742
8,32,7936,248,13.760894817250716,19.931451612903224,14.108870967741936,13.713709677419356,17,32,18,17,1.3766765505351941e-14,0.20967741935483872,0.0,0.0,0.40188315319244905,0.09143013805495626,0.08447971074691699,0.3588709677419355
9,32,7936,248,24.300399634385894,24.729838709677423,24.048387096774192,24.338709677419352,28,32,28,28,8.452529224478589e-05,0.28225806451612906,0.0,0.0,0.5282070738132103,0.07319064389207741,0.08849508399286658,0.49193548387096775
10,32,7936,248,27.93676486241151,28.161290322580644,28.024193548387096,27.883064516129036,31,32,31,31,0.009922304642959956,0.2903225806451613,0.008064516129032258,0.012096774193548387,0.42354091160525453,0.041984074085389116,0.04496273043332236,0.44354838709677424
11,32,7936,248,27.28638054481071,27.653225806451612,27.120967741935488,27.270161290322577,30,32,30,30,0.006101330559446949,0.2903225806451613,0.0,0.0,0.41755500133741597,0.046347176880067766,0.055367000269801556,0.40725806451612906
12,32,7936,248,23.09145240228378,24.23790322580645,22.987903225806452,23.096774193548384,27,32,27,27,2.6170046223850107e-05,0.2862903225806452,0.0,0.0,0.4939906803276909,0.08846070397394934,0.06517348663549904,0.43951612903225806
13,32,7936,248,23.533909614784534,25.391129032258064,23.423387096774196,23.516129032258064,27,32,27,27,2.0432176889517706e-05,0.27419354838709675,0.0,0.0,0.40762954614342395,0.08602195038899879,0.06682804517993315,0.42741935483870963
14,32,7936,248,15.764559093863365,20.286290322580644,15.516129032258064,15.641129032258064,20,32,19,19,2.3667956483564012e-11,0.18548387096774194,0.0,0.0,0.3264494044502754,0.077694217664677,0.06481040373071317,0.3467741935483871
15,32,7936,248,13.985248722764371,19.366935483870968,14.060483870967742,14.137096774193546,17,32,18,17,1.006972283335017e-13,0.1814516129032258,0.0,0.0,0.38478104004640173,0.08334470233788355,0.07043802551704739,0.3870967741935484
16,32,7936,248,15.68653738018246,19.943548387096776,15.540322580645162,15.61693548387097,20,32,20,20,4.374056672418192e-11,0.1975806451612903,0.0,0.0,0.2971790359189137,0.06240943531643399,0.07654078085739915,0.3185483870967742
17,32,7936,248,22.21850058956059,24.068548387096776,21.576612903225804,22.060483870967744,26,32,26,26,6.5426219785225115e-06,0.2661290322580645,0.0,0.0,0.41872286778890133,0.12521871427028491,0.0848723228595082,0.3266129032258064
18,32,7936,248,14.143569822654147,19.94758064516129,14.064516129032258,14.153225806451614,18,32,18,18,1.9972912213006566e-13,0.17338709677419356,0.0,0.0,0.4040815150916981,0.06880846952196869,0.10696521706922357,0.4274193548387097
19,32,7936,248,22.91004882407729,23.608870967741932,22.33467741935484,23.04032258064516,27,32,26,27,2.2612061852056442e-05,0.23790322580645162,0.0,0.0,0.45785097299495375,0.10098001507993584,0.05708416395320565,0.41935483870967744
20,32,7936,248,15.148439934034485,19.733870967741936,14.625,14.899193548387096,19,32,18,19,3.4063862841549053e-12,0.16129032258064516,0.0,0.0,0.3102266467119322,0.1520552312893521,0.09691649532959323,0.3790322580645161
21,32,7936,248,24.834816513570736,25.826612903225808,24.862903225806456,24.891129032258064,29,32,28,29,0.00029379544525898194,0.24193548387096775,0.0,0.0,0.3573876308105929,0.07918401575864119,0.07343868690219835,0.3790322580645161
22,32,7936,248,27.03631533430218,29.096774193548384,26.971774193548388,27.036290322580648,30,32,30,31,0.004544728432522516,0.31048387096774194,0.0,0.008064516129032258,0.3453650240123306,0.07646518471903864,0.07794175927752242,0.35080645161290325
23,32,7936,248,27.86010586898983,29.548387096774196,27.391129032258064,27.54032258064516,31,32,31,31,0.007626487039422591,0.29435483870967744,0.024193548387096774,0.012096774193548387,0.4061807349375747,0.1377499253550645,0.1045069827868163,0.42338709677419356
