pp,ep,local_bs,layer,pred_expected_x,actual_expected_x,tvd,loc_mu,scale_beta,plot_path
1,4,32,0,12.339358423603139,17.814516129032256,0.3846572853364805,10.936986931341696,1.563318557822165,./output/gumbel_expert_max_per_layer/layer00.png
2,2,16,0,7.1273146079243075,9.237903225806452,0.2759070363442379,6.022779789010566,1.0473480377842672,./output/gumbel_expert_max_per_layer/layer00.png
1,4,32,1,13.251716920063476,17.088709677419352,0.37249158968121254,11.759950590214812,1.7181900588656072,./output/gumbel_expert_max_per_layer/layer01.png
2,2,16,1,7.491574467911491,9.050403225806452,0.3357996140966822,6.367481099614967,1.081129857357751,./output/gumbel_expert_max_per_layer/layer01.png
1,4,32,2,21.036903978686738,22.810483870967744,0.44893822250972015,19.171071995706317,2.366242058203625,./output/gumbel_expert_max_per_layer/layer02.png
2,2,16,2,10.985308330722708,11.858870967741936,0.3350622530942512,9.624734827011373,1.4909060567643895,./output/gumbel_expert_max_per_layer/layer02.png
1,4,32,3,20.54946122924491,22.95967741935484,0.3671010409789831,18.905155811695806,1.9824573310390061,./output/gumbel_expert_max_per_layer/layer03.png
2,2,16,3,10.977448675120048,11.866935483870968,0.34362311439032184,9.734009629838992,1.2879630798574142,./output/gumbel_expert_max_per_layer/layer03.png
1,4,32,4,23.45657671418341,23.088709677419356,0.5705406052209796,21.48299725154228,2.552909687447194,./output/gumbel_expert_max_per_layer/layer04.png
2,2,16,4,12.163958674677074,11.858870967741936,0.46963920201392634,10.700892079426435,1.6684689822084748,./output/gumbel_expert_max_per_layer/layer04.png
1,4,32,5,22.02474504073883,24.564516129032256,0.28810820683010124,20.33328933602736,2.0641430535793694,./output/gumbel_expert_max_per_layer/layer05.png
2,2,16,5,11.669361278383095,12.548387096774194,0.26517043654746025,10.39325275129657,1.3445798029089837,./output/gumbel_expert_max_per_layer/layer05.png
1,4,32,6,14.602589093942333,19.157258064516128,0.3077850794756505,13.097325424533473,1.7415738301480148,./output/gumbel_expert_max_per_layer/layer06.png
2,2,16,6,8.21087450476807,10.080645161290322,0.3171529141706493,7.054836278888518,1.1365994125931105,./output/gumbel_expert_max_per_layer/layer06.png
1,4,32,7,16.251011780636823,20.141129032258064,0.3000895020383336,14.570290104711203,2.0455468256879876,./output/gumbel_expert_max_per_layer/layer07.png
2,2,16,7,8.78567768871346,10.502016129032258,0.2674273872410967,7.576104299373414,1.2292857062361773,./output/gumbel_expert_max_per_layer/layer07.png
1,4,32,8,14.272955162844777,19.931451612903228,0.3659887010693051,12.861570048426687,1.5789341355320428,./output/gumbel_expert_max_per_layer/layer08.png
2,2,16,8,8.161888328393262,10.445564516129032,0.31566049443538435,7.052922695510622,1.0550124643497891,./output/gumbel_expert_max_per_layer/layer08.png
1,4,32,9,24.658142513743215,24.72983870967742,0.4768497246746651,22.74957361649352,2.440281826773332,./output/gumbel_expert_max_per_layer/layer09.png
2,2,16,9,12.693518666573864,12.64717741935484,0.3875175717172497,11.286644581788144,1.5711176772270075,./output/gumbel_expert_max_per_layer/layer09.png
1,4,32,10,28.50019268356856,28.161290322580648,0.3990133228159572,26.93068965475475,1.8528655297622243,./output/gumbel_expert_max_per_layer/layer10.png
2,2,16,10,14.692757108772543,14.27016129032258,0.3089844883114602,13.453881476819607,1.2800731331584205,./output/gumbel_expert_max_per_layer/layer10.png
1,4,32,11,28.145160756992603,27.653225806451612,0.41473396696643183,26.391138025954948,2.172537595085293,./output/gumbel_expert_max_per_layer/layer11.png
2,2,16,11,14.33633073234319,13.953629032258064,0.3081728389486728,12.989351433791489,1.4673523168527696,./output/gumbel_expert_max_per_layer/layer11.png
1,4,32,12,23.65064362651421,24.237903225806452,0.5060210374482221,21.76597862383257,2.398869412095788,./output/gumbel_expert_max_per_layer/layer12.png
2,2,16,12,12.208307371537554,12.495967741935484,0.35668396379183265,10.861672791774346,1.4667567737576572,./output/gumbel_expert_max_per_layer/layer12.png
1,4,32,13,24.19549882397334,25.391129032258064,0.38974987437281255,22.464161722293554,2.1332357684791377,./output/gumbel_expert_max_per_layer/layer13.png
2,2,16,13,12.699259948130317,13.068548387096774,0.32202877785289874,11.407063842902003,1.3724489255698094,./output/gumbel_expert_max_per_layer/layer13.png
1,4,32,14,16.101973870064914,20.286290322580644,0.29196341097146244,14.412679601357633,2.060398459628501,./output/gumbel_expert_max_per_layer/layer14.png
2,2,16,14,8.847740886021558,10.622983870967742,0.24702470727794118,7.616751182209078,1.2663957528501069,./output/gumbel_expert_max_per_layer/layer14.png
1,4,32,15,14.69027785823292,19.366935483870968,0.33032070311862227,13.28020458428912,1.576660222501285,./output/gumbel_expert_max_per_layer/layer15.png
2,2,16,15,8.308546793572585,10.175403225806452,0.3102502558279065,7.196653335499261,1.0600061278073645,./output/gumbel_expert_max_per_layer/layer15.png
1,4,32,16,16.11601111792316,19.943548387096772,0.2703527714495824,14.391466732875259,2.1214676956222296,./output/gumbel_expert_max_per_layer/layer16.png
2,2,16,16,8.754680875189969,10.508064516129032,0.2612009134862319,7.520158202434454,1.2725252124152935,./output/gumbel_expert_max_per_layer/layer16.png
1,4,32,17,22.681326455684378,24.068548387096772,0.37820069507021464,20.71122239482539,2.546888711159406,./output/gumbel_expert_max_per_layer/layer17.png
2,2,16,17,11.702889734864405,12.276209677419354,0.33069171622453086,10.285569671401987,1.589215093124672,./output/gumbel_expert_max_per_layer/layer17.png
1,4,32,18,14.9289656535891,19.947580645161292,0.35412997503721955,13.4855568592029,1.6344126076081398,./output/gumbel_expert_max_per_layer/layer18.png
2,2,16,18,8.40320878761946,10.471774193548386,0.30924034571053766,7.283520259262214,1.0734998357873848,./output/gumbel_expert_max_per_layer/layer18.png
1,4,32,19,23.572878927221556,23.608870967741936,0.45702688062157776,21.595409644698268,2.559648624213352,./output/gumbel_expert_max_per_layer/layer19.png
2,2,16,19,12.08674887997793,12.10483870967742,0.3491970151295246,10.604293457836437,1.7020593434862583,./output/gumbel_expert_max_per_layer/layer19.png
1,4,32,20,15.507128366681455,19.733870967741936,0.2772146969850213,13.896064799619555,1.9248673310033195,./output/gumbel_expert_max_per_layer/layer20.png
2,2,16,20,8.593799119299323,10.316532258064516,0.22271310176910197,7.381170117241003,1.234601974046482,./output/gumbel_expert_max_per_layer/layer20.png
1,4,32,21,25.52417678182006,25.826612903225808,0.3496004812479554,23.614623391390815,2.441987416546481,./output/gumbel_expert_max_per_layer/layer21.png
2,2,16,21,13.091067817383001,13.056451612903226,0.2782951285255854,11.60199085667058,1.7135309036303792,./output/gumbel_expert_max_per_layer/layer21.png
1,4,32,22,27.741814766063275,29.096774193548388,0.3358073784293299,25.973430567893637,2.1974181821166394,./output/gumbel_expert_max_per_layer/layer22.png
2,2,16,22,14.177566532635481,14.578629032258064,0.32823508215501573,12.75319067581474,1.6014394367220335,./output/gumbel_expert_max_per_layer/layer22.png
1,4,32,23,28.149509610864545,29.548387096774196,0.3839029537233166,26.440764947861712,2.0940953896892163,./output/gumbel_expert_max_per_layer/layer23.png
2,2,16,23,14.417734906171473,14.828629032258064,0.38266358279273033,13.055770752550524,1.4933130312870948,./output/gumbel_expert_max_per_layer/layer23.png
