layer,series,x,prob
0,pairwise_cov_normal,0,0.0
0,pairwise_cov_normal,1,0.0
0,pairwise_cov_normal,2,0.0
0,pairwise_cov_normal,3,0.0
0,pairwise_cov_normal,4,0.0
0,pairwise_cov_normal,5,0.0
0,pairwise_cov_normal,6,3.3333333333333333e-06
0,pairwise_cov_normal,7,0.0005266666666666667
0,pairwise_cov_normal,8,0.012016666666666667
0,pairwise_cov_normal,9,0.06971333333333334
0,pairwise_cov_normal,10,0.17273666666666668
0,pairwise_cov_normal,11,0.2375
0,pairwise_cov_normal,12,0.21708333333333332
0,pairwise_cov_normal,13,0.14754666666666666
0,pairwise_cov_normal,14,0.08122333333333333
0,pairwise_cov_normal,15,0.03791666666666667
0,pairwise_cov_normal,16,0.015756666666666665
0,pairwise_cov_normal,17,0.00559
0,pairwise_cov_normal,18,0.0017533333333333333
0,pairwise_cov_normal,19,0.00048
0,pairwise_cov_normal,20,0.00013
0,pairwise_cov_normal,21,2e-05
0,pairwise_cov_normal,22,3.3333333333333333e-06
0,pairwise_cov_normal,23,0.0
0,pairwise_cov_normal,24,0.0
0,pairwise_cov_normal,25,0.0
0,pairwise_cov_normal,26,0.0
0,pairwise_cov_normal,27,0.0
0,pairwise_cov_normal,28,0.0
0,pairwise_cov_normal,29,0.0
0,pairwise_cov_normal,30,0.0
0,pairwise_cov_normal,31,0.0
0,pairwise_cov_normal,32,0.0
1,pairwise_cov_normal,0,0.0
1,pairwise_cov_normal,1,0.0
1,pairwise_cov_normal,2,0.0
1,pairwise_cov_normal,3,0.0
1,pairwise_cov_normal,4,0.0
1,pairwise_cov_normal,5,0.0
1,pairwise_cov_normal,6,0.0
1,pairwise_cov_normal,7,6.666666666666667e-06
1,pairwise_cov_normal,8,0.0018333333333333333
1,pairwise_cov_normal,9,0.027686666666666665
1,pairwise_cov_normal,10,0.10485
1,pairwise_cov_normal,11,0.18643
1,pairwise_cov_normal,12,0.21069333333333334
1,pairwise_cov_normal,13,0.18038333333333334
1,pairwise_cov_normal,14,0.12735666666666667
1,pairwise_cov_normal,15,0.07968
1,pairwise_cov_normal,16,0.04444
1,pairwise_cov_normal,17,0.02159
1,pairwise_cov_normal,18,0.009713333333333333
1,pairwise_cov_normal,19,0.0035433333333333332
1,pairwise_cov_normal,20,0.0012933333333333334
1,pairwise_cov_normal,21,0.00037666666666666664
1,pairwise_cov_normal,22,0.00010666666666666667
1,pairwise_cov_normal,23,1.6666666666666667e-05
1,pairwise_cov_normal,24,0.0
1,pairwise_cov_normal,25,0.0
1,pairwise_cov_normal,26,0.0
1,pairwise_cov_normal,27,0.0
1,pairwise_cov_normal,28,0.0
1,pairwise_cov_normal,29,0.0
1,pairwise_cov_normal,30,0.0
1,pairwise_cov_normal,31,0.0
1,pairwise_cov_normal,32,0.0
2,pairwise_cov_normal,0,0.0
2,pairwise_cov_normal,1,0.0
2,pairwise_cov_normal,2,0.0
2,pairwise_cov_normal,3,0.0
2,pairwise_cov_normal,4,0.0
2,pairwise_cov_normal,5,0.0
2,pairwise_cov_normal,6,0.0
2,pairwise_cov_normal,7,0.0
2,pairwise_cov_normal,8,0.0
2,pairwise_cov_normal,9,0.0
2,pairwise_cov_normal,10,0.0
2,pairwise_cov_normal,11,0.0
2,pairwise_cov_normal,12,2e-05
2,pairwise_cov_normal,13,0.00036333333333333335
2,pairwise_cov_normal,14,0.00299
2,pairwise_cov_normal,15,0.01229
2,pairwise_cov_normal,16,0.03334
2,pairwise_cov_normal,17,0.06777333333333334
2,pairwise_cov_normal,18,0.10595333333333333
2,pairwise_cov_normal,19,0.13716666666666666
2,pairwise_cov_normal,20,0.15155666666666667
2,pairwise_cov_normal,21,0.1468
2,pairwise_cov_normal,22,0.12385
2,pairwise_cov_normal,23,0.09295333333333333
2,pairwise_cov_normal,24,0.06051
2,pairwise_cov_normal,25,0.03491333333333333
2,pairwise_cov_normal,26,0.017106666666666666
2,pairwise_cov_normal,27,0.0077666666666666665
2,pairwise_cov_normal,28,0.0032266666666666667
2,pairwise_cov_normal,29,0.0011133333333333334
2,pairwise_cov_normal,30,0.00021666666666666666
2,pairwise_cov_normal,31,7.666666666666667e-05
2,pairwise_cov_normal,32,1.3333333333333333e-05
3,pairwise_cov_normal,0,0.0
3,pairwise_cov_normal,1,0.0
3,pairwise_cov_normal,2,0.0
3,pairwise_cov_normal,3,0.0
3,pairwise_cov_normal,4,0.0
3,pairwise_cov_normal,5,0.0
3,pairwise_cov_normal,6,0.0
3,pairwise_cov_normal,7,0.0
3,pairwise_cov_normal,8,0.0
3,pairwise_cov_normal,9,0.0
3,pairwise_cov_normal,10,0.0
3,pairwise_cov_normal,11,0.0
3,pairwise_cov_normal,12,0.0
3,pairwise_cov_normal,13,1e-05
3,pairwise_cov_normal,14,0.00046
3,pairwise_cov_normal,15,0.00554
3,pairwise_cov_normal,16,0.03128333333333334
3,pairwise_cov_normal,17,0.08371333333333333
3,pairwise_cov_normal,18,0.13813666666666666
3,pairwise_cov_normal,19,0.16609
3,pairwise_cov_normal,20,0.16952333333333333
3,pairwise_cov_normal,21,0.14654
3,pairwise_cov_normal,22,0.11087333333333334
3,pairwise_cov_normal,23,0.07305666666666667
3,pairwise_cov_normal,24,0.0408
3,pairwise_cov_normal,25,0.02031
3,pairwise_cov_normal,26,0.00879
3,pairwise_cov_normal,27,0.00331
3,pairwise_cov_normal,28,0.0011266666666666667
3,pairwise_cov_normal,29,0.0003066666666666667
3,pairwise_cov_normal,30,9.333333333333333e-05
3,pairwise_cov_normal,31,3.6666666666666666e-05
3,pairwise_cov_normal,32,0.0
4,pairwise_cov_normal,0,0.0
4,pairwise_cov_normal,1,0.0
4,pairwise_cov_normal,2,0.0
4,pairwise_cov_normal,3,0.0
4,pairwise_cov_normal,4,0.0
4,pairwise_cov_normal,5,0.0
4,pairwise_cov_normal,6,0.0
4,pairwise_cov_normal,7,0.0
4,pairwise_cov_normal,8,0.0
