bs,layer,source,x,probability
1,0,predicted,1,0.11907762096774194
1,0,predicted,2,0.7702872983870969
1,0,predicted,3,0.1101310483870968
1,0,predicted,4,0.0005040322580645178
1,0,fixed_actual,1,0.11907762096774194
1,0,fixed_actual,2,0.7702872983870968
1,0,fixed_actual,3,0.11013104838709678
1,0,fixed_actual,4,0.0005040322580645161
1,0,cont_sim,1,0.1177
1,0,cont_sim,2,0.77015
1,0,cont_sim,3,0.11155
1,0,cont_sim,4,0.0006
1,1,predicted,1,0.1498235887096774
1,1,predicted,2,0.724546370967742
1,1,predicted,3,0.12462197580645164
1,1,predicted,4,0.0010080645161290262
1,1,fixed_actual,1,0.1498235887096774
1,1,fixed_actual,2,0.7245463709677419
1,1,fixed_actual,3,0.12462197580645161
1,1,fixed_actual,4,0.0010080645161290322
1,1,cont_sim,1,0.15065
1,1,cont_sim,2,0.7246
1,1,cont_sim,3,0.12325
1,1,cont_sim,4,0.0015
1,2,predicted,1,0.12789818548387094
1,2,predicted,2,0.6628024193548386
1,2,predicted,3,0.2084173387096774
1,2,predicted,4,0.0008820564516129019
1,2,fixed_actual,1,0.12789818548387097
1,2,fixed_actual,2,0.6628024193548387
1,2,fixed_actual,3,0.2084173387096774
1,2,fixed_actual,4,0.0008820564516129032
1,2,cont_sim,1,0.1266
1,2,cont_sim,2,0.66615
1,2,cont_sim,3,0.2063
1,2,cont_sim,4,0.00095
1,3,predicted,1,0.07207661290322581
1,3,predicted,2,0.7123235887096775
1,3,predicted,3,0.2111895161290323
1,3,predicted,4,0.004410282258064522
1,3,fixed_actual,1,0.07207661290322581
1,3,fixed_actual,2,0.7123235887096774
1,3,fixed_actual,3,0.21118951612903225
1,3,fixed_actual,4,0.0044102822580645165
1,3,cont_sim,1,0.07125
1,3,cont_sim,2,0.71325
1,3,cont_sim,3,0.21115
1,3,cont_sim,4,0.00435
1,4,predicted,1,0.15927419354838707
1,4,predicted,2,0.7923387096774193
1,4,predicted,3,0.048387096774193554
1,4,fixed_actual,1,0.1592741935483871
1,4,fixed_actual,2,0.7923387096774194
1,4,fixed_actual,3,0.04838709677419355
1,4,cont_sim,1,0.1597
1,4,cont_sim,2,0.79015
1,4,cont_sim,3,0.05015
1,5,predicted,1,0.23513104838709675
1,5,predicted,2,0.7345010080645161
1,5,predicted,3,0.030367943548387132
1,5,fixed_actual,1,0.23513104838709678
1,5,fixed_actual,2,0.7345010080645161
1,5,fixed_actual,3,0.030367943548387098
1,5,cont_sim,1,0.23505
1,5,cont_sim,2,0.7351
1,5,cont_sim,3,0.02985
1,6,predicted,1,0.20501512096774194
1,6,predicted,2,0.733366935483871
1,6,predicted,3,0.059601814516129024
1,6,predicted,4,0.0020161290322580692
1,6,fixed_actual,1,0.20501512096774194
1,6,fixed_actual,2,0.733366935483871
1,6,fixed_actual,3,0.05960181451612903
1,6,fixed_actual,4,0.0020161290322580645
1,6,cont_sim,1,0.2048
1,6,cont_sim,2,0.7341
1,6,cont_sim,3,0.05905
1,6,cont_sim,4,0.00205
1,7,predicted,1,0.11227318548387093
1,7,predicted,2,0.8500504032258064
1,7,predicted,3,0.037676411290322606
1,7,fixed_actual,1,0.11227318548387097
1,7,fixed_actual,2,0.8500504032258065
1,7,fixed_actual,3,0.03767641129032258
1,7,cont_sim,1,0.1091
1,7,cont_sim,2,0.8522
1,7,cont_sim,3,0.0387
1,8,predicted,1,0.2316028225806452
1,8,predicted,2,0.6706149193548386
1,8,predicted,3,0.09576612903225813
1,8,predicted,4,0.00201612903225806
1,8,fixed_actual,1,0.23160282258064516
1,8,fixed_actual,2,0.6706149193548387
1,8,fixed_actual,3,0.09576612903225806
1,8,fixed_actual,4,0.0020161290322580645
1,8,cont_sim,1,0.23145
1,8,cont_sim,2,0.674
1,8,cont_sim,3,0.0923
1,8,cont_sim,4,0.00225
1,9,predicted,1,0.14490927419354835
1,9,predicted,2,0.8108618951612903
1,9,predicted,3,0.04385080645161294
1,9,predicted,4,0.00037802419354838736
1,9,fixed_actual,1,0.14490927419354838
1,9,fixed_actual,2,0.8108618951612904
1,9,fixed_actual,3,0.043850806451612906
1,9,fixed_actual,4,0.0003780241935483871
1,9,cont_sim,1,0.14455
1,9,cont_sim,2,0.8132
1,9,cont_sim,3,0.04165
1,9,cont_sim,4,0.0006
1,10,predicted,1,0.283266129032258
1,10,predicted,2,0.7096774193548387
1,10,predicted,3,0.007056451612903235
1,10,fixed_actual,1,0.28326612903225806
1,10,fixed_actual,2,0.7096774193548387
1,10,fixed_actual,3,0.007056451612903226
1,10,cont_sim,1,0.2809
1,10,cont_sim,2,0.7118
1,10,cont_sim,3,0.0073
1,11,predicted,1,0.11088709677419356
1,11,predicted,2,0.8205645161290323
1,11,predicted,3,0.06854838709677426
1,11,fixed_actual,1,0.11088709677419355
1,11,fixed_actual,2,0.8205645161290323
1,11,fixed_actual,3,0.06854838709677419
1,11,cont_sim,1,0.1085
1,11,cont_sim,2,0.8244
1,11,cont_sim,3,0.0671
1,12,predicted,1,0.36038306451612917
1,12,predicted,2,0.6043346774193548
1,12,predicted,3,0.035156250000000035
1,12,predicted,4,0.00012600806451613193
1,12,fixed_actual,1,0.36038306451612906
1,12,fixed_actual,2,0.6043346774193549
1,12,fixed_actual,3,0.03515625
1,12,fixed_actual,4,0.00012600806451612903
1,12,cont_sim,1,0.3603
1,12,cont_sim,2,0.60235
1,12,cont_sim,3,0.03725
1,12,cont_sim,4,0.0001
1,13,predicted,1,0.06262600806451611
1,13,predicted,2,0.885836693548387
1,13,predicted,3,0.05153729838709677
1,13,fixed_actual,1,0.06262600806451613
1,13,fixed_actual,2,0.8858366935483871
1,13,fixed_actual,3,0.051537298387096774
1,13,cont_sim,1,0.06185
1,13,cont_sim,2,0.88915
1,13,cont_sim,3,0.049
1,14,predicted,1,0.06363407258064516
1,14,predicted,2,0.7949848790322581
1,14,predicted,3,0.139616935483871
1,14,predicted,4,0.0017641129032257984
1,14,fixed_actual,1,0.06363407258064516
1,14,fixed_actual,2,0.7949848790322581
1,14,fixed_actual,3,0.13961693548387097
1,14,fixed_actual,4,0.0017641129032258064
1,14,cont_sim,1,0.0623
1,14,cont_sim,2,0.7971
1,14,cont_sim,3,0.13855
1,14,cont_sim,4,0.00205
1,15,predicted,1,0.10912298387096772
1,15,predicted,2,0.770665322580645
1,15,predicted,3,0.11554939516129031
1,15,predicted,4,0.004662298387096773
1,15,fixed_actual,1,0.10912298387096774
1,15,fixed_actual,2,0.7706653225806451
1,15,fixed_actual,3,0.11554939516129033
1,15,fixed_actual,4,0.004662298387096774
1,15,cont_sim,1,0.10605
1,15,cont_sim,2,0.77255
1,15,cont_sim,3,0.11655
1,15,cont_sim,4,0.00485
1,16,predicted,1,0.2066532258064516
1,16,predicted,2,0.7632308467741935
1,16,predicted,3,0.030115927419354795
1,16,fixed_actual,1,0.20665322580645162
1,16,fixed_actual,2,0.7632308467741935
1,16,fixed_actual,3,0.03011592741935484
1,16,cont_sim,1,0.20745
1,16,cont_sim,2,0.7624
1,16,cont_sim,3,0.03015
1,17,predicted,1,0.09097782258064516
1,17,predicted,2,0.8515625
1,17,predicted,3,0.05745967741935486
1,17,fixed_actual,1,0.09097782258064516
1,17,fixed_actual,2,0.8515625
1,17,fixed_actual,3,0.057459677419354836
1,17,cont_sim,1,0.09195
1,17,cont_sim,2,0.85325
1,17,cont_sim,3,0.0548
1,18,predicted,1,0.15637600806451615
1,18,predicted,2,0.7894405241935484
1,18,predicted,3,0.0541834677419355
1,18,fixed_actual,1,0.15637600806451613
1,18,fixed_actual,2,0.7894405241935484
1,18,fixed_actual,3,0.054183467741935484
1,18,cont_sim,1,0.1623
1,18,cont_sim,2,0.78315
1,18,cont_sim,3,0.05455
1,19,predicted,1,0.14831149193548387
1,19,predicted,2,0.7837701612903225
1,19,predicted,3,0.06766633064516131
1,19,predicted,4,0.00025201612903225546
1,19,fixed_actual,1,0.14831149193548387
1,19,fixed_actual,2,0.7837701612903226
1,19,fixed_actual,3,0.0676663306451613
1,19,fixed_actual,4,0.00025201612903225806
1,19,cont_sim,1,0.1545
1,19,cont_sim,2,0.7771
1,19,cont_sim,3,0.06825
1,19,cont_sim,4,0.00015
1,20,predicted,1,0.1050907258064516
1,20,predicted,2,0.8529485887096774
1,20,predicted,3,0.04183467741935487
1,20,predicted,4,0.00012600806451612485
1,20,fixed_actual,1,0.10509072580645161
1,20,fixed_actual,2,0.8529485887096774
1,20,fixed_actual,3,0.041834677419354836
1,20,fixed_actual,4,0.00012600806451612903
1,20,cont_sim,1,0.10495
1,20,cont_sim,2,0.8537
1,20,cont_sim,3,0.0413
1,20,cont_sim,4,5e-05
1,21,predicted,1,0.14440524193548387
1,21,predicted,2,0.8274949596774193
1,21,predicted,3,0.028099798387096753
1,21,fixed_actual,1,0.14440524193548387
1,21,fixed_actual,2,0.8274949596774194
1,21,fixed_actual,3,0.028099798387096774
1,21,cont_sim,1,0.14765
1,21,cont_sim,2,0.8245
1,21,cont_sim,3,0.02785
1,22,predicted,1,0.22895665322580644
1,22,predicted,2,0.7626008064516128
1,22,predicted,3,0.008442540322580657
1,22,fixed_actual,1,0.22895665322580644
1,22,fixed_actual,2,0.7626008064516129
1,22,fixed_actual,3,0.008442540322580645
1,22,cont_sim,1,0.2292
1,22,cont_sim,2,0.76215
1,22,cont_sim,3,0.00865
1,23,predicted,1,0.2523941532258065
1,23,predicted,2,0.6861139112903225
1,23,predicted,3,0.06149193548387095
1,23,fixed_actual,1,0.25239415322580644
1,23,fixed_actual,2,0.6861139112903226
1,23,fixed_actual,3,0.06149193548387097
1,23,cont_sim,1,0.25055
1,23,cont_sim,2,0.68785
1,23,cont_sim,3,0.0616
2,0,predicted,2,0.05292505429016811
2,0,predicted,3,0.576293151410884
2,0,predicted,4,0.3105929689278339
2,0,predicted,5,0.05552096967270421
2,0,predicted,6,0.004623301939711257
2,0,predicted,7,4.43949783754048e-05
2,0,predicted,8,1.587803232353266e-07
2,0,fixed_actual,2,0.04158266129032258
2,0,fixed_actual,3,0.4722782258064516
2,0,fixed_actual,4,0.39818548387096775
2,0,fixed_actual,5,0.05216733870967742
2,0,fixed_actual,6,0.03578629032258065
2,0,cont_sim,2,0.0524
2,0,cont_sim,3,0.57885
2,0,cont_sim,4,0.3068
2,0,cont_sim,5,0.0575
2,0,cont_sim,6,0.00445
2,1,predicted,2,0.05170473223794388
2,1,predicted,3,0.5945291668021592
2,1,predicted,4,0.29414489936630134
2,1,predicted,5,0.05350585683451489
2,1,predicted,6,0.006024617682386548
2,1,predicted,7,9.025073572450326e-05
2,1,predicted,8,4.763409696868054e-07
2,1,fixed_actual,2,0.04712701612903226
2,1,fixed_actual,3,0.5040322580645161
2,1,fixed_actual,4,0.3649193548387097
2,1,fixed_actual,5,0.06300403225806452
2,1,fixed_actual,6,0.020917338709677418
2,1,cont_sim,2,0.05265
2,1,cont_sim,3,0.5913
2,1,cont_sim,4,0.2963
2,1,cont_sim,5,0.05395
2,1,cont_sim,6,0.0058
2,2,predicted,2,0.042257652322409925
2,2,predicted,3,0.5025211457283266
2,2,predicted,4,0.31214842860830194
2,2,predicted,5,0.1086958648014763
2,2,predicted,6,0.03405491792200507
2,2,predicted,7,0.00032121259389633286
2,2,predicted,8,7.780235838330551e-07
2,2,fixed_actual,2,0.042086693548387094
2,2,fixed_actual,3,0.40599798387096775
2,2,fixed_actual,4,0.35408266129032256
2,2,fixed_actual,5,0.11617943548387097
2,2,fixed_actual,6,0.08165322580645161
2,2,cont_sim,2,0.04185
2,2,cont_sim,3,0.51065
2,2,cont_sim,4,0.3109
2,2,cont_sim,5,0.10255
2,2,cont_sim,6,0.0336
2,2,cont_sim,7,0.00045
2,3,predicted,2,0.029482679734244916
2,3,predicted,3,0.3626091646478277
2,3,predicted,4,0.38513775844355647
2,3,predicted,5,0.1854248681996293
2,3,predicted,6,0.03581810989935615
2,3,predicted,7,0.0015090481919875073
2,3,predicted,8,1.8370883397827967e-05
2,3,fixed_actual,2,0.03024193548387097
2,3,fixed_actual,3,0.33014112903225806
2,3,fixed_actual,4,0.4188508064516129
2,3,fixed_actual,5,0.11466733870967742
2,3,fixed_actual,6,0.1003024193548387
2,3,fixed_actual,7,0.0057963709677419355
2,3,cont_sim,2,0.02915
2,3,cont_sim,3,0.36185
2,3,cont_sim,4,0.38525
2,3,cont_sim,5,0.1871
2,3,cont_sim,6,0.03515
2,3,cont_sim,7,0.0015
2,4,predicted,2,0.04255338067442766
2,4,predicted,3,0.6405890203787558
2,4,predicted,4,0.28417301872642436
2,4,predicted,5,0.031435518929663155
2,4,predicted,6,0.0012490612907290668
2,4,fixed_actual,2,0.04788306451612903
2,4,fixed_actual,3,0.5546875
2,4,fixed_actual,4,0.35408266129032256
2,4,fixed_actual,5,0.025453629032258066
2,4,fixed_actual,6,0.017893145161290324
2,4,cont_sim,2,0.0434
2,4,cont_sim,3,0.63725
2,4,cont_sim,4,0.28765
2,4,cont_sim,5,0.03075
2,4,cont_sim,6,0.00095
2,5,predicted,2,0.0684189811333409
2,5,predicted,3,0.6757819168773576
2,5,predicted,4,0.24039256783603505
2,5,predicted,5,0.015044149821556333
2,5,predicted,6,0.00036238433171015136
2,5,fixed_actual,2,0.09753024193548387
2,5,fixed_actual,3,0.5425907258064516
2,5,fixed_actual,4,0.3419858870967742
2,5,fixed_actual,5,0.017893145161290324
2,5,cont_sim,2,0.06725
2,5,cont_sim,3,0.6756
2,5,cont_sim,4,0.24115
2,5,cont_sim,5,0.01565
2,5,cont_sim,6,0.00035
2,6,predicted,2,0.0787724585240391
2,6,predicted,3,0.6193693956897112
2,6,predicted,4,0.2725879935146495
2,6,predicted,5,0.02722085402981923
2,6,predicted,6,0.0019182092069215363
2,6,predicted,7,0.00012702425858480786
2,6,predicted,8,4.064776274712479e-06
2,6,fixed_actual,2,0.07787298387096774
2,6,fixed_actual,3,0.5143649193548387
2,6,fixed_actual,4,0.3755040322580645
2,6,fixed_actual,5,0.030493951612903226
2,6,fixed_actual,6,0.0017641129032258064
2,6,cont_sim,2,0.0785
2,6,cont_sim,3,0.62195
2,6,cont_sim,4,0.27095
2,6,cont_sim,5,0.02645
2,6,cont_sim,6,0.00205
2,6,cont_sim,7,0.0001
2,7,predicted,2,0.04887904584966018
