bs,layer,pred_expected_x,fixed_expected_x,cont_expected_x,pred_p95,fixed_p95,cont_p95,tvd_fixed_vs_pred,tvd_cont_vs_pred,num_fixed_batches,num_cont_samples
1,0,1.992061491935484,1.992061491935484,1.9950499999999998,3,3,3,6.331740687315346e-17,0.0015149193548387424,7936,20000
1,1,1.9768145161290325,1.9768145161290323,1.9756,3,3,3,7.24247051220317e-17,0.0013719758064516202,7936,20000
1,2,2.082283266129032,2.082283266129032,2.0816,3,3,3,7.003946034256359e-17,0.0034155241935484152,7936,20000
1,3,2.147933467741936,2.1479334677419355,2.1486,3,3,3,8.586881206085195e-17,0.0009264112903226008,7936,20000
1,4,1.8891129032258063,1.8891129032258065,1.89045,2,2,3,7.28583859910259e-17,0.0021887096774193156,7936,20000
1,5,1.7952368951612905,1.7952368951612903,1.7948,2,2,2,3.122502256758253e-17,0.0005989919354838624,7936,20000
1,6,1.8586189516129032,1.8586189516129032,1.85835,3,3,3,5.854691731421724e-18,0.0007669354838709314,7936,20000
1,7,1.9254032258064515,1.9254032258064517,1.9296,2,2,2,9.020562075079397e-17,0.0031731854838709453,7936,20000
1,8,1.8681955645161292,1.8681955645161292,1.8653499999999998,3,3,3,1.201296007113939e-16,0.0036189516129033553,7936,20000
1,9,1.899697580645161,1.8996975806451613,1.8983,2,2,2,8.687169907040104e-17,0.002560080645161333,7936,20000
1,10,1.7237903225806452,1.7237903225806452,1.7264,2,2,2,3.252606517456513e-17,0.002366129032258016,7936,20000
1,11,1.9576612903225807,1.9576612903225805,1.9586000000000001,3,3,3,4.163336342344337e-17,0.0038354838709677916,7936,20000
1,12,1.6750252016129035,1.6750252016129032,1.6771500000000001,2,2,2,1.2981965762798309e-16,0.0020937499999999823,7936,20000
1,13,1.9889112903225803,1.9889112903225807,1.98715,3,3,2,6.591949208711867e-17,0.0033133064516129296,7936,20000
1,14,2.0795110887096775,2.079511088709677,2.08035,3,3,3,1.7889335846010823e-17,0.00240100806451613,7936,20000
1,15,2.015751008064516,2.015751008064516,2.0202,3,3,3,7.025630077706069e-17,0.003072983870967786,7936,20000
1,16,1.823462701612903,1.823462701612903,1.8226999999999998,2,2,2,3.642919299551295e-17,0.0008308467741935718,7936,20000
1,17,1.9664818548387097,1.9664818548387097,1.9628499999999998,3,3,3,1.0408340855860843e-17,0.002659677419354828,7936,20000
1,18,1.8978074596774195,1.8978074596774195,1.8922500000000002,3,3,3,2.0816681711721685e-17,0.006290524193548357,7936,20000
1,19,1.919858870967742,1.919858870967742,1.91405,3,3,3,6.375108774214766e-17,0.006772177419354785,7936,20000
1,20,1.9369959677419355,1.9369959677419353,1.9364500000000002,2,2,2,2.6373217845709895e-17,0.0007514112903226106,7936,20000
1,21,1.8836945564516128,1.8836945564516128,1.8802,2,2,2,6.591949208711867e-17,0.0032447580645160665,7936,20000
1,22,1.779485887096774,1.7794858870967742,1.77945,2,2,2,6.158268339717665e-17,0.000450806451612832,7936,20000
1,23,1.8090977822580643,1.8090977822580647,1.81105,3,3,3,9.367506770274758e-17,0.0018441532258065031,7936,20000
1,layer_avg,1.912203881048387,1.912203881048387,1.9119395833333332,,,,5.982480768730823e-17,0.0025026125672043043,,20000
2,0,3.382758133617326,3.568296370967742,3.38275,5,5,5,0.11875550332600328,0.004535878916411826,3968,20000
2,1,3.367889118492293,3.506552419354839,3.3689500000000008,5,5,5,0.09516535192324885,0.0035445115612398777,3968,20000
2,2,3.590736000148364,3.789314516129032,3.57675,5,6,5,0.09701611124886186,0.008257641677777077,3968,20000
2,3,3.8400871919915773,3.9420362903225805,3.8417499999999998,5,6,5,0.1032439359889194,0.0017873733568141588,3968,20000
2,4,3.3082378597835103,3.4107862903225805,3.3086000000000007,4,4,4,0.09188341027616084,0.004323600599147995,3968,20000
2,5,3.203149039340937,3.280241935483871,3.20625,4,4,4,0.1335535754026161,0.0013632823424086235,3968,20000
2,6,3.254540291586726,3.3639112903225805,3.2519000000000005,4,4,4,0.106189136326499,0.002712395103367318,3968,20000
2,7,3.326528336825654,3.4357358870967745,3.3225000000000002,4,4,4,0.09180260696966865,0.0026873123851700455,3968,20000
2,8,3.3391484509645717,3.403225806451613,3.3447000000000005,5,5,5,0.1155847396612416,0.0031118090388429862,3968,20000
2,9,3.4353631026538918,3.482358870967742,3.4382,4,4,4,0.08815183450974742,0.003048864250699033,3968,20000
2,10,3.1280226375012194,3.1897681451612905,3.12825,4,4,4,0.12271988280233809,0.003093522474148018,3968,20000
2,11,3.573370418489042,3.617691532258065,3.5693999999999995,5,5,5,0.057698610049752935,0.003662433388478616,3968,20000
2,12,3.1239985725013826,3.1582661290322576,3.1218999999999997,4,4,4,0.09369628461665101,0.0070721767334239105,3968,20000
2,13,3.4493184957990537,3.5181451612903225,3.4646000000000003,4,4,4,0.07072607510791977,0.01459059123695202,3968,20000
2,14,3.437585201521446,3.6202116935483875,3.4418,5,5,5,0.13544922192560638,0.006178096140088454,3968,20000
2,15,3.399964172807866,3.568800403225806,3.4036500000000007,5,5,5,0.11514050407290569,0.002344023330799489,3968,20000
2,16,3.151491321956702,3.298639112903225,3.1522000000000006,4,4,4,0.13505616123544806,0.0016885490171371501,3968,20000
2,17,3.3636406333836018,3.447076612903226,3.3654,4,5,4,0.11186216673915518,0.0024487656798744453,3968,20000
2,18,3.297352293651633,3.4460685483870965,3.29815,4,4,4,0.09914635569942616,0.00041378667952500026,3968,20000
2,19,3.4447427644441824,3.519657258064516,3.4495999999999998,5,5,5,0.10170184561166763,0.0036226484761153668,3968,20000
2,20,3.2735462327653497,3.411542338709678,3.2772,4,4,4,0.10650563314479532,0.004957395758812537,3968,20000
2,21,3.3502099456945897,3.424647177419354,3.34595,4,4,4,0.11870143862594296,0.0021221917476913076,3968,20000
2,22,3.07576396834962,3.215725806451613,3.07745,4,4,4,0.12877941627780298,0.0015059836301296423,3968,20000
2,23,3.2909464602912006,3.355594758064516,3.28835,4,5,4,0.09198293378276216,0.005343275894657194,3968,20000
2,layer_avg,3.3503496101900723,3.457262264784946,3.35109375,,,,0.10543803063854752,0.003934004559154671,,20000
4,0,6.008354301563546,6.591229838709679,6.009000000000002,8,9,8,0.18474640115565022,0.003943853749406879,1984,20000
4,1,5.952810542534446,6.419858870967742,5.96075,8,9,8,0.15143447878114813,0.0037571230182200785,1984,20000
4,2,6.490457989047064,7.143145161290322,6.489299999999999,9,11,9,0.1597872304208517,0.0046004580057869525,1984,20000
4,3,7.141518665694647,7.397681451612905,7.1471,10,12,10,0.14056941573709503,0.007889420035978756,1984,20000
4,4,6.098438532738855,6.420362903225807,6.106599999999999,8,8,8,0.11989809236316427,0.011167758451115459,1984,20000
4,5,5.910522659186015,6.165322580645161,5.91275,7,8,7,0.1682486072590745,0.006759526598350459,1984,20000
4,6,5.82146699414787,6.209677419354839,5.819599999999999,7,8,7,0.1732631850179642,0.0037262801197537137,1984,20000
4,7,6.16172779574012,6.473790322580645,6.15385,8,8,8,0.11036774962259788,0.007136313835073306,1984,20000
4,8,6.1202773589373844,6.35383064516129,6.13105,8,9,8,0.15281678359539322,0.006360658130532831,1984,20000
4,9,6.424609892044683,6.596270161290323,6.425999999999998,8,8,8,0.12915181048494698,0.005443967496660421,1984,20000
4,10,5.797117831492068,6.071068548387097,5.799099999999999,7,8,7,0.18668672983941112,0.00509329804757345,1984,20000
4,11,6.805671008390686,6.923387096774193,6.80435,9,9,9,0.09768658022901086,0.006509378755693782,1984,20000
4,12,5.914624020930989,6.076612903225807,5.918749999999999,8,8,8,0.1406325176630405,0.0042367366648088335,1984,20000
4,13,6.3341554341240505,6.603830645161289,6.3340499999999995,8,8,8,0.13123909016847435,0.004554091348945438,1984,20000
4,14,6.1125644904049725,6.686995967741937,6.1126000000000005,8,9,8,0.20586456663299627,0.0023926124318057575,1984,20000
4,15,6.039934372634966,6.566028225806452,6.048249999999999,8,10,8,0.1516348961528993,0.0037595547315315246,1984,20000
4,16,5.737880465865567,6.17641129032258,5.738399999999999,7,8,7,0.1945151709371283,0.003881779013400448,1984,20000
4,17,6.141769827018656,6.4375,6.141050000000001,8,8,8,0.1394041825009814,0.003301234534040091,1984,20000
4,18,5.919095413427514,6.423891129032259,5.91785,7,8,7,0.17843470559881847,0.004207578418859099,1984,20000
4,19,6.513943715367822,6.712701612903227,6.498500000000001,8,9,8,0.13909156032794706,0.0071852342945032685,1984,20000
4,20,5.852394687073113,6.320564516129033,5.862850000000002,7,8,7,0.15880576655017914,0.005858472464304395,1984,20000
4,21,6.2681596682714895,6.517137096774194,6.2661999999999995,8,8,8,0.17282593534926313,0.006695759765514341,1984,20000
4,22,5.557093172644469,6.015120967741936,5.5614,7,8,7,0.17301922049976606,0.004623175809612554,1984,20000
4,23,6.177714393491087,6.403225806451613,6.170800000000001,8,8,8,0.08867199287768093,0.0069957628418853834,1984,20000
4,layer_avg,6.13759596803217,6.487735215053764,6.138756250000001,,,,0.15203319457356182,0.0054200011901398846,,20000
8,0,11.012282917209866,12.547379032258064,11.014399999999998,14,16,14,0.2451363616699516,0.009501331825592138,992,20000
8,1,10.867843330050245,12.036290322580644,10.869349999999999,13,17,13,0.20254629373846184,0.0057825727806702565,992,20000
8,2,12.192276090474511,13.796370967741936,12.198049999999999,16,21,16,0.20454997953745535,0.005862840573510852,992,20000
8,3,13.784311343842807,14.211693548387096,13.750349999999997,18,24,18,0.2704946583759954,0.01188382042969328,992,20000
8,4,11.533132253412603,12.34576612903226,11.524700000000001,14,16,14,0.16389790965529655,0.003597984084644442,992,20000
8,5,11.170744842032013,11.866935483870966,11.16705,13,16,13,0.198471164486026,0.0071842066550271855,992,20000
8,6,10.714213676532157,11.706653225806452,10.712750000000002,13,16,13,0.20047250109022666,0.007570792111097057,992,20000
8,7,11.830158692490775,12.512096774193552,11.817650000000004,15,16,15,0.1261218507169116,0.004908161001104651,992,20000
